key_pair,inter_key_latency,dwell_time
"('h', 'e')",0.14731502532958984,0.06846880912780762
"('e', 'l')",0.08472180366516113,0.07996320724487305
"('l', <Key.backspace: <51>>)",0.781231164932251,0.0811159610748291
"(<Key.backspace: <51>>, <Key.backspace: <51>>)",0.1737971305847168,0.08058381080627441
"(<Key.backspace: <51>>, <Key.backspace: <51>>)",0.16215777397155762,0.07634806632995605
"(<Key.backspace: <51>>, 'h')",2.5996291637420654,0.06743979454040527
"('h', 'e')",0.09088873863220215,0.0758671760559082
"('e', 'l')",0.07266521453857422,0.06457710266113281
"('l', 'l')",0.15082812309265137,0.06470775604248047
"('l', 'o')",0.15686678886413574,0.10895895957946777
"('o', <Key.space: ' '>)",0.1283712387084961,0.09203481674194336
"(<Key.space: ' '>, 't')",0.11344480514526367,0.08868288993835449
"('t', 'h')",0.08147001266479492,0.11138296127319336
"('h', 'i')",0.059144020080566406,0.1149449348449707
"('i', 's')",0.09563398361206055,0.06754517555236816
"('s', <Key.space: ' '>)",0.07113385200500488,0.07723808288574219
"(<Key.space: ' '>, 'i')",0.1356980800628662,0.10864996910095215
"('i', 's')",0.11202025413513184,0.06068873405456543
"('s', <Key.space: ' '>)",0.07177877426147461,0.07732605934143066
"(<Key.space: ' '>, 'n')",0.32996082305908203,0.14568614959716797
"('n', 'o')",0.11203622817993164,0.10129880905151367
"('o', 't')",0.07211589813232422,0.07666301727294922
"('t', <Key.space: ' '>)",0.09578609466552734,0.09825611114501953
"(<Key.space: ' '>, 'o')",0.09776782989501953,0.13156914710998535
"('o', 'k')",0.0676112174987793,0.13401079177856445
"('k', 'a')",0.10323786735534668,0.09311294555664062
"('a', 'y')",0.13361406326293945,0.09326314926147461
"('y', <Key.space: ' '>)",0.11329412460327148,0.06125187873840332
"(<Key.space: ' '>, 'w')",0.0842747688293457,0.06704115867614746
"('w', 'h')",0.06686711311340332,0.08214187622070312
"('h', <Key.backspace: <51>>)",0.5149350166320801,0.06440591812133789
"(<Key.backspace: <51>>, <Key.backspace: <51>>)",0.14122295379638672,0.08104801177978516
"(<Key.backspace: <51>>, 'i')",0.23243999481201172,0.0728299617767334
"('i', 'd')",0.1086268424987793,0.06362438201904297
"('d', 'k')",0.07119226455688477,0.09311103820800781
"('k', <Key.space: ' '>)",0.13616490364074707,0.07604098320007324
"(<Key.space: ' '>, 'h')",0.35077595710754395,0.07999110221862793
"('h', 'o')",0.05579686164855957,0.09500908851623535
"('o', 'w')",0.08748435974121094,0.07217288017272949
"('w', <Key.space: ' '>)",0.0975196361541748,0.08466529846191406
"(<Key.space: ' '>, 't')",0.16147422790527344,0.09280776977539062
"('t', 'h')",0.05615592002868652,0.12853693962097168
"('h', 'i')",0.07611513137817383,0.1035757064819336
"('i', 's')",0.09178709983825684,0.07995796203613281
"('s', <Key.space: ' '>)",0.04052090644836426,0.07208085060119629
"(<Key.space: ' '>, 'w')",0.23926591873168945,0.06690382957458496
"('w', 'i')",0.047924041748046875,0.11224508285522461
"('i', 'l')",0.07604575157165527,0.04733014106750488
"('l', 'l')",0.13218212127685547,0.09862303733825684
"('l', <Key.space: ' '>)",0.08379912376403809,0.09538507461547852
"(<Key.space: ' '>, 'f')",0.07932090759277344,0.061434030532836914
"('f', 'o')",0.09496188163757324,0.09560298919677734
"('o', 'r')",0.08044600486755371,0.08480310440063477
"('r', 'm')",0.09533810615539551,0.09346604347229004
"('m', 'a')",0.11532211303710938,0.11825990676879883
"('a', 't')",0.07680296897888184,0.09992289543151855
"('t', <Key.esc: <53>>)",0.7096540927886963,0.06328868865966797
